BIOMEDICAL NAME,,,PROTEIN NAME,,,Description,,
hepaGam B,,,globulin,,,It is used to prevents liver hepatitis-B,,
hepaGam  B Novaplus,,,globulin,,,prevent hepatitis,,
albuked ,,,albumin,,,used to increase plasma volume,,
albumin-alphine ,,,albumin,,,reduce blood volume loss,,
babyHep B,,,globiulin,,,decrease risk of liver disease,,
hyper B,,,globulin,,,prevent hepatities B in  new born babies,,
winRHO SDF,,,globulin,,,treatment of immune thrombocytopenic purpura,,
halfprin,,,aspirin,,,used to treat pain and reduce fever,,
babyrab,,,globulin,,,babyrab tablet,,
plasbumin-25,,,globulin,,,used to maintain plasma colloid astmatic pressure,,
babyRHo-d,,,globulin,,,treat purpura(ITP),,
dornase alfa,,,alpha helix,,,reduces viscosity in lungs,,
albunex,,,albumin,,,increase level of blood in albumin,,
lyophilized rb,,,collagen,,,improves stability,,
gammagard S,,,globulin,,,indicated for people axis against tetanus,,
incretin mimetics,,,insulin,,,treatment for type2 diabetics,,
hyperTET S/D,s/D full Dose,,globulin,,,hepatitis,,
protide,,,protamine sulphate,,,delivering phosponate,,
albumax,,,albumin,,,treat low blood albumin level,,
hyperRH S/D full Dose,,,globulin,,,injection(immunoglobulin,,
evithrom,,,thrombin,,,aids to stop mino bleedins from small veins,,
bivigam,,,globulin,,,help to  increase blood count,,
albuminar-5,,,albumin,,,used to treat trauma and infection,,
plasma-plex,,,plasma protein,,,myasteina gravis,,
nabi-HB,,,globulin,,,hepatitis,,
protenate,,,plasma protein,,,immunity booster,,
ceprotin,,,protein c syntesis,synthesis,,treat repair tissue,,
panzyga,,,globulin,,,used to treat kavasaki disease,,
protexel ,,,protein c synthesis,,,used tp treat fibroid in uterus,,
respiGam,,,globulin,,,used in infant who have broncho pulmonary displacia,,
kebdumin,,,albumin,,,increase the volume of albumin level in blood,,
tuberculin ,,,tuberculin purified protein,,,diagnosis of tuberculosis,,
durlaza,,,aspirin,,,used to reduce fever and inflammation,,
synagsis,,,globulin,,,treat respiratory synptial,,
creon,,,amylase,,,systic fibrosis,,
human albumin grofols,,,albumin,,,used to treat abdominal infection,,
referon-A,,,interferon alpha,,,used to treat melanoma,,
variZIG,,,globulin,,,treat infant who could become severly exposed to varicella zoscer virus,,
ecpirin,,,aspirin,,,reduce fever,,
xembify,,,globulin,,,treatment of primary humoral deficiency,,
flexbumin,,,albumin,,,increase plasma level,,
car imune NF,,,globulin,,,increase the blood count,,
proteinnuria,,,tamm-horsfall,,,treatment of renal disease,,
buminate,,,albumin,,,cures injury that causes blood loss,,
zinplava,,,globulin,,,used to treat swollen dry area,,
albutein,,,albumin,,,cures severe burns,,
aspi-cora,,,aspirin,,,treat heart attacks,,
leuprolids,,,gelatine,,,to treat symptoms of endreomatics,,
fasprin,,,aspirin ,,,used to treat common cold,,
cutaquig,,,globulin,,,treat immune system,,
plasmanate,,,plasma protein,,,treatment of shock due to heamorrage,,
abciximab,,,integrin,,,prevent coronary thrombosis,,
vedolizumad,,,integirn,,,to reduce gastro intestinal inflammation,,
natalizuamb,,,integrin,,,multiple sclerosis,,
